weather_data,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Cape Town,ZA,-33.9258,18.4232,69.12,84,0,3.0,clear sky
80,Mahibadhoo,MV,3.7833,72.9667,81.66,73,80,15.23,broken clouds
81,Itoman,JP,26.1247,127.6694,75.22,78,75,31.07,broken clouds
82,Olinda,BR,-8.0089,-34.8553,78.53,69,40,9.22,light rain
83,Erenhot,CN,43.6475,111.9767,63.91,12,43,13.18,scattered clouds
84,Narsaq,GL,60.9167,-46.05,34.02,95,100,5.68,light snow
85,Miri,MY,4.4148,114.0089,82.54,78,40,9.22,scattered clouds
86,Werda,BW,-25.2667,23.2833,73.18,43,81,9.57,broken clouds
87,Puerto Ayora,EC,-0.7393,-90.3518,67.55,89,27,5.01,scattered clouds
88,Guarenas,VE,10.4674,-66.6066,77.13,97,35,0.83,scattered clouds
89,Sao Filipe,CV,14.8961,-24.4956,79.93,76,24,5.84,few clouds
90,Airai,TL,-8.9266,125.4092,73.62,66,99,0.67,moderate rain
91,Severo-Kurilsk,RU,50.6789,156.125,39.99,70,63,32.26,light rain
92,Deputatskiy,RU,69.3,139.9,-3.21,94,43,3.89,scattered clouds
93,Altay,CN,47.8667,88.1167,46.4,45,60,5.68,broken clouds
94,Sitka,US,57.0531,-135.33,57.09,62,100,28.77,light rain
95,Ribeira Grande,PT,38.5167,-28.7,59.77,77,40,17.27,light rain
96,Chiredzi,ZW,-21.05,31.6667,76.32,57,83,9.91,broken clouds
97,Homer,US,59.6425,-151.5483,45.81,71,100,8.99,overcast clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,71.49,91,99,18.84,overcast clouds
99,Asau,RO,46.4333,26.4,40.12,61,41,4.14,scattered clouds
100,Fortuna,US,40.5982,-124.1573,53.65,86,0,6.91,clear sky
101,Thompson,CA,55.7435,-97.8558,35.76,75,75,3.44,broken clouds
102,Hirara,JP,24.8,125.2833,77.27,65,75,27.63,broken clouds
103,Saint-Philippe,RE,-21.3585,55.7679,76.59,72,48,10.89,scattered clouds
104,Letlhakeng,BW,-24.0944,25.0298,74.17,45,67,15.01,broken clouds
105,Totma,RU,59.9747,42.7642,40.46,84,100,3.51,overcast clouds
