City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Makokou,GA,2022-10-15 01:29:16,0.5738,12.8642,68.43,99,100,3.02
68,San Patricio,US,2022-10-15 01:29:17,28.017,-97.5169,82.26,66,28,12.46
69,Lompoc,US,2022-10-15 01:29:17,34.6391,-120.4579,66.78,92,100,5.75
70,Hasaki,JP,2022-10-15 01:29:18,35.7333,140.8333,74.21,71,100,15.64
71,Carauari,BR,2022-10-15 01:29:19,-4.8828,-66.8958,74.43,95,100,1.9
72,Manoel Urbano,BR,2022-10-15 01:29:20,-8.8389,-69.2597,71.91,99,87,2.55
73,Kavieng,PG,2022-10-15 01:29:21,-2.5744,150.7967,85.12,69,25,10.74
74,Eyl,SO,2022-10-15 01:29:21,7.9803,49.8164,76.23,87,5,12.33
75,Constitucion,CL,2022-10-15 01:29:21,-35.3333,-72.4167,52.65,82,0,11.59
76,Nantucket,US,2022-10-15 01:29:22,41.2835,-70.0995,62.71,94,0,8.05
77,Mataura,NZ,2022-10-15 01:29:23,-46.1927,168.8643,67.41,37,0,3.18
78,Sapa,PH,2022-10-15 01:29:23,5.1544,120.3241,84.07,73,82,1.28
79,Mitzic,GA,2022-10-15 01:29:24,0.7821,11.549,67.51,99,100,2.98
80,Longyearbyen,SJ,2022-10-15 01:29:24,78.2186,15.6401,22.84,68,40,8.05
81,Dniprovka,UA,2022-10-15 01:29:25,47.4295,34.618,45.88,62,0,10.78
82,Cherskiy,RU,2022-10-15 01:29:25,68.75,161.3,8.51,92,100,6.91
83,Loa Janan,ID,2022-10-15 01:29:26,-0.583,117.095,82.83,79,91,3.18
84,Porto Santo,PT,2022-10-15 01:29:27,33.072,-16.3415,70.18,83,20,8.05
85,Dali,CN,2022-10-15 01:29:27,25.7,100.1833,61.41,92,69,3.49
86,Palafrugell,ES,2022-10-15 01:29:28,41.9174,3.1631,63.36,91,0,2.64
87,Sitka,US,2022-10-15 01:29:29,57.0531,-135.33,48.09,87,100,6.91
88,Leh,IN,2022-10-15 01:29:29,34.1667,77.5833,37.94,40,0,3.6
89,Los Llanos De Aridane,ES,2022-10-15 01:29:30,28.6585,-17.9182,67.75,84,75,10.36
90,Pisco,PE,2022-10-15 01:29:30,-13.7,-76.2167,60.85,77,0,17.27
91,Chokurdakh,RU,2022-10-15 01:30:31,70.6333,147.9167,12.43,95,96,8.37
92,Avarua,CK,2022-10-15 01:30:31,-21.2078,-159.775,78.85,78,5,11.5
93,Sweetwater,US,2022-10-15 01:25:48,25.7634,-80.3731,82.42,88,100,6.91
94,Hermanus,ZA,2022-10-15 01:30:32,-34.4187,19.2345,59.81,86,100,16.89
95,Baherden,TM,2022-10-15 01:30:33,38.4362,57.4316,62.11,40,56,3.58
96,Gasa,PS,2022-10-15 01:30:33,31.5,34.4667,65.88,72,22,7.25
97,Narsaq,GL,2022-10-15 01:30:33,60.9167,-46.05,30.42,67,70,6.8
98,Moose Factory,CA,2022-10-15 01:30:34,51.2585,-80.6094,44.58,76,20,6.91
99,Tasiilaq,GL,2022-10-15 01:30:34,65.6145,-37.6368,26.76,57,51,8.19
100,Goure,NE,2022-10-15 01:30:35,13.9835,10.2704,81.27,16,42,7.81
101,Bonthe,SL,2022-10-15 01:30:35,7.5264,-12.505,76.01,89,85,4.99
102,Atuona,PF,2022-10-15 01:30:37,-9.8,-139.0333,76.86,80,9,16.31
103,Vila Velha,BR,2022-10-15 01:28:16,-20.3297,-40.2925,76.95,86,75,9.22
104,Barrow,US,2022-10-15 01:30:37,71.2906,-156.7887,30.22,64,100,9.22
105,Victoria,HK,2022-10-15 01:27:50,22.2855,114.1577,82.26,54,8,5.99
106,Te Anau,NZ,2022-10-15 01:30:39,-45.4167,167.7167,63.07,48,25,6.49
107,Comodoro Rivadavia,AR,2022-10-15 01:30:39,-45.8667,-67.5,55.26,41,0,4.61
108,Georgetown,MY,2022-10-15 01:30:40,5.4112,100.3354,80.24,93,40,6.91
109,Ugoofaaru,MV,2022-10-15 01:30:40,5.6667,73.0,81.72,79,100,11.54
110,Kaduy,RU,2022-10-15 01:30:41,59.2,37.15,40.71,92,100,4.27
111,Brownsville,US,2022-10-15 01:30:41,25.9018,-97.4975,82.9,76,100,11.5
112,Nikolskoye,RU,2022-10-15 01:30:42,59.7035,30.7861,46.29,92,88,6.13
113,Airai,TL,2022-10-15 01:30:42,-8.9266,125.4092,74.32,53,98,3.49
114,Mnogovershinnyy,RU,2022-10-15 01:30:43,53.9353,139.9242,45.88,52,13,2.82
